sample,time,code,chan
75153,36.69580078125,4,-1
76421,37.31494140625,138,left
76534,37.3701171875,60,-1
76579,37.39208984375,148,left
76660,37.431640625,138,left
76769,37.48486328125,148,left
82526,40.2958984375,4,-1
83331,40.68896484375,138,left
83419,40.73193359375,60,-1
83474,40.7587890625,148,left
83521,40.78173828125,138,left
83692,40.865234375,148,left
102801,50.19580078125,4,-1
103596,50.583984375,138,left
103676,50.623046875,60,-1
103772,50.669921875,148,left
103828,50.697265625,138,left
103952,50.7578125,148,left
104348,50.951171875,138,left
104381,50.96728515625,148,left
109661,53.54541015625,4,-1
110202,53.8095703125,138,left
110288,53.8515625,148,left
110325,53.86962890625,138,left
110367,53.89013671875,60,-1
110511,53.96044921875,148,left
111025,54.21142578125,138,left
111055,54.22607421875,148,left
116351,56.81201171875,16,-1
117077,57.16650390625,138,right
117192,57.22265625,112,-1
117297,57.27392578125,148,right
117625,57.43408203125,138,left
117708,57.474609375,148,left
123178,60.1455078125,16.0,-1.0
123675,60.38818359375,138,right
123769,60.43408203125,112.0,-1.0
123900,60.498046875,148,right
129766,63.3623046875,4,-1
130470,63.7060546875,138,left
130635,63.78662109375,60,-1
130736,63.8359375,148,left
130785,63.85986328125,138,left
130864,63.8984375,148,left
136626,66.7119140625,16,-1
137287,67.03466796875,138,right
137403,67.09130859375,112,-1
137455,67.11669921875,148,right
139405,68.06884765625,138,left
139591,68.15966796875,148,left
143384,70.01171875,4,-1
143778,70.2041015625,138,left
143914,70.2705078125,148,left
144007,70.31591796875,138,left
144077,70.35009765625,60,-1
144147,70.38427734375,148,left
150075,73.27880859375,4,-1
150667,73.56787109375,138,left
150765,73.61572265625,60,-1
150810,73.6376953125,148,left
150903,73.68310546875,138,left
151069,73.76416015625,148,left
151601,74.02392578125,138,left
151646,74.0458984375,148,left
156765,76.54541015625,8.0,-1.0
157461,76.88525390625,138,right
157498,76.9033203125,120.0,-1.0
157596,76.951171875,148,right
163489,79.82861328125,4,-1
163943,80.05029296875,138,left
164136,80.14453125,60,-1
164209,80.18017578125,148,left
164296,80.22265625,138,left
164410,80.2783203125,148,left
170145,83.07861328125,16.0,-1.0
170734,83.3662109375,138,right
170863,83.42919921875,112.0,-1.0
170954,83.4736328125,148,right
176869,86.36181640625,8.0,-1.0
177571,86.70458984375,138,right
177635,86.73583984375,148,right
177709,86.77197265625,138,right
177756,86.794921875,120.0,-1.0
177819,86.82568359375,148,right
183764,89.728515625,8.0,-1.0
184173,89.92822265625,138,right
184329,90.00439453125,148,right
184337,90.00830078125,120.0,-1.0
184377,90.02783203125,138,right
184525,90.10009765625,148,right
197041,96.21142578125,4,-1
197479,96.42529296875,138,right
197608,96.48828125,148,right
197939,96.64990234375,138,left
198003,96.68115234375,60,-1
198090,96.7236328125,148,left
198161,96.75830078125,138,left
198291,96.82177734375,148,left
198714,97.0283203125,138,left
198775,97.05810546875,148,left
198844,97.091796875,138,left
198922,97.1298828125,148,left
204004,99.611328125,8.0,-1.0
204573,99.88916015625,138,right
204723,99.96240234375,120.0,-1.0
204843,100.02099609375,148,right
210728,102.89453125,16.0,-1.0
211095,103.07373046875,138,right
211324,103.185546875,112.0,-1.0
211472,103.2578125,148,right
230901,112.74462890625,8,-1
231304,112.94140625,138,left
231427,113.00146484375,148,left
231623,113.09716796875,138,right
231740,113.154296875,148,right
231757,113.16259765625,120,-1
231890,113.2275390625,138,right
231981,113.27197265625,148,right
232062,113.3115234375,138,right
232355,113.45458984375,148,right
232653,113.60009765625,138,right
232757,113.65087890625,148,right
232875,113.70849609375,138,right
232970,113.7548828125,148,right
233048,113.79296875,138,right
233174,113.8544921875,148,right
233274,113.9033203125,138,right
233372,113.951171875,148,right
233748,114.134765625,138,right
233880,114.19921875,148,right
237762,116.0947265625,4,-1
238538,116.4736328125,138,left
238709,116.55712890625,60,-1
238810,116.6064453125,148,left
238978,116.6884765625,138,left
239098,116.7470703125,148,left
239152,116.7734375,138,left
239383,116.88623046875,148,left
251551,122.82763671875,16.0,-1.0
252087,123.08935546875,138,right
252221,123.15478515625,112.0,-1.0
252337,123.21142578125,148,right
253046,123.5576171875,192.0,-1.0
258207,126.07763671875,16.0,-1.0
258639,126.28857421875,138,right
258733,126.33447265625,112.0,-1.0
258867,126.39990234375,148,right
259557,126.73681640625,192.0,-1.0
271485,132.56103515625,16.0,-1.0
271895,132.76123046875,138,right
271981,132.80322265625,148,right
272001,132.81298828125,112.0,-1.0
272068,132.845703125,138,right
272233,132.92626953125,148,right
272825,133.21533203125,192.0,-1.0
278004,135.744140625,16.0,-1.0
278668,136.068359375,138,right
278759,136.11279296875,112.0,-1.0
278857,136.16064453125,148,right
278907,136.18505859375,138,right
278998,136.2294921875,148,right
279583,136.51513671875,192.0,-1.0
284762,139.0439453125,16.0,-1.0
285152,139.234375,138,right
285286,139.2998046875,112.0,-1.0
285494,139.4013671875,148,right
286110,139.7021484375,192.0,-1.0
291282,142.2275390625,4,-1
291945,142.55126953125,138,left
292043,142.59912109375,60,-1
292093,142.62353515625,148,left
292148,142.650390625,138,left
292326,142.7373046875,148,left
292388,142.767578125,138,left
292468,142.806640625,148,left
292701,142.92041015625,138,left
292798,142.9677734375,148,left
292868,143.001953125,192,-1
298040,145.52734375,16.0,-1.0
298372,145.689453125,138,right
298434,145.7197265625,148,right
298475,145.73974609375,138,right
298544,145.7734375,112.0,-1.0
298600,145.80078125,148,right
298652,145.826171875,138,right
298759,145.87841796875,148,right
299368,146.17578125,192.0,-1.0
318110,155.3271484375,8,-1
318520,155.52734375,138,left
318634,155.5830078125,148,left
318753,155.64111328125,138,right
318875,155.70068359375,120,-1
318915,155.72021484375,148,right
318955,155.73974609375,138,right
319089,155.80517578125,148,right
319699,156.10302734375,192,-1
